matrix,rows,cols,nonzeros,symmetrize,blocking_algo,tau,row_block_size,col_block_size,use_pattern,sim_use_groups,sim_measure,reorder,exp_name,b_cols,warmup,exp_repetitions,multiplication_algo,n_streams,time_to_block,time_to_merge,time_to_compare,VBR_nzcount,VBR_nzblocks_count,VBR_average_height,VBR_longest_row,merge_counter,comparison_counter,average_merge_tau,average_row_distance,avg_time_multiply,std_time_multiply,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_1024_e_BCSR_no_reord,1024,1,5,6,4,0.000000,0.000000,0.000000,596653882,576,1017.583313,24,0,0,0.000000,0.000000,1.371738,0.000000,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,5,0.010000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_1024_e_BCSR_reord,1024,1,5,6,4,1995293.000000,10228.000000,1989972.000000,549913402,531,1017.039551,24,1450,233675,0.000042,13965.364258,1.511654,1.414214,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_1024_e_BELLPACK_no_block,1024,1,5,3,4,0.000000,0.000000,0.000000,596653882,576,1017.583313,24,0,0,0.000000,0.000000,5.596192,0.000000,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_1024_e_CUTLASS_BELLPACK,1024,1,5,8,4,0.000000,0.000000,0.000000,596653882,576,1017.583313,24,0,0,0.000000,0.000000,5.987763,0.000000,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_8192_e_BCSR_no_reord,8192,1,5,6,4,0.000000,0.000000,0.000000,596653882,576,1017.583313,24,0,0,0.000000,0.000000,5.281497,0.000000,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,5,0.010000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_8192_e_BCSR_reord,8192,1,5,6,4,2000773.000000,9936.000000,1994845.000000,549913402,531,1017.039551,24,1450,233675,0.000042,13965.364258,4.866214,0.000000,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_8192_e_BELLPACK_no_block,8192,1,5,3,4,0.000000,0.000000,0.000000,596653882,576,1017.583313,24,0,0,0.000000,0.000000,36.016365,7.211102,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,3,0.500000,3,3,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_8192_e_CSR,8192,1,5,2,4,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,4.484173,1.000000,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,2,0.000000,1024,1024,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_8192_e_CUTLASS_BELLPACK,8192,1,5,8,4,0.000000,0.000000,0.000000,596653882,576,1017.583313,24,0,0,0.000000,0.000000,42.316582,0.000000,
data/suitesparse_all//208bit.mtx,24422,24431,299756,1,3,0.500000,3,3,1,0,1,0,blocking_G_208bit_b_1024_B_1024_bcols_8192_e_CUTLASS_GEMM,8192,1,5,9,4,0.000000,0.000000,0.000000,0,0,-nan,0,0,0,0.000000,0.000000,40.629837,0.000000,
